Protocol,Source IP,Destination IP,Source Port,Destination Port,Packet Size
HTTPS,140.82.112.26,192.168.0.102,443,53113,79
HTTPS,192.168.0.102,140.82.112.26,53113,443,83
HTTPS,192.168.0.102,20.184.175.15,56686,443,168
HTTPS,192.168.0.102,20.184.175.15,56686,443,93
HTTPS,192.168.0.102,20.184.175.15,56686,443,1454
HTTPS,192.168.0.102,20.184.175.15,56686,443,1454
HTTPS,192.168.0.102,20.184.175.15,56686,443,313
HTTPS,140.82.112.26,192.168.0.102,443,53113,54
HTTPS,20.184.175.15,192.168.0.102,443,56686,54
HTTPS,20.184.175.15,192.168.0.102,443,56686,54
HTTPS,20.184.175.15,192.168.0.102,443,56686,93
HTTPS,192.168.0.102,20.184.175.15,56686,443,54
HTTPS,20.184.175.15,192.168.0.102,443,56686,153
HTTPS,192.168.0.102,20.184.175.15,56686,443,89
HTTPS,20.184.175.15,192.168.0.102,443,56686,54
HTTPS,104.18.39.21,192.168.0.102,443,64642,78
HTTPS,192.168.0.102,104.18.39.21,64642,443,82
HTTPS,104.18.39.21,192.168.0.102,443,64642,54
HTTPS,192.168.0.102,142.251.221.163,56695,443,66
HTTPS,192.168.0.102,142.251.221.163,56696,443,66
HTTPS,142.251.221.163,192.168.0.102,443,56695,70
HTTPS,192.168.0.102,142.251.221.163,56695,443,54
HTTPS,192.168.0.102,142.251.221.163,56695,443,1454
HTTPS,192.168.0.102,142.251.221.163,56695,443,449
HTTPS,142.251.221.163,192.168.0.102,443,56696,70
HTTPS,192.168.0.102,142.251.221.163,56696,443,54
HTTPS,142.251.221.163,192.168.0.102,443,56695,58
HTTPS,192.168.0.102,142.251.221.163,56697,443,66
HTTPS,192.168.0.102,142.251.221.163,56696,443,1454
HTTPS,192.168.0.102,142.251.221.163,56696,443,417
HTTPS,192.168.0.102,142.251.221.163,56696,443,1454
HTTPS,142.251.221.163,192.168.0.102,443,56695,1458
HTTPS,142.251.221.163,192.168.0.102,443,56695,1458
HTTPS,142.251.221.163,192.168.0.102,443,56695,1340
HTTPS,142.251.221.163,192.168.0.102,443,56697,70
HTTPS,142.251.221.163,192.168.0.102,443,56696,58
HTTPS,142.251.221.163,192.168.0.102,443,56696,58
HTTPS,142.251.221.163,192.168.0.102,443,56696,1458
HTTPS,142.251.221.163,192.168.0.102,443,56696,1458
HTTPS,142.251.221.163,192.168.0.102,443,56696,1340
HTTPS,142.251.221.163,192.168.0.102,443,56696,1340
HTTPS,192.168.0.102,142.251.221.163,56695,443,54
HTTPS,192.168.0.102,142.251.221.163,56697,443,54
HTTPS,192.168.0.102,142.251.221.163,56696,443,66
HTTPS,192.168.0.102,142.251.221.163,56697,443,1454
HTTPS,192.168.0.102,142.251.221.163,56697,443,417
HTTPS,192.168.0.102,142.251.221.163,56695,443,128
HTTPS,192.168.0.102,142.251.221.163,56696,443,128
HTTPS,142.251.221.163,192.168.0.102,443,56696,70
HTTPS,142.251.221.163,192.168.0.102,443,56697,58
HTTPS,142.251.221.163,192.168.0.102,443,56697,58
HTTPS,142.251.221.163,192.168.0.102,443,56696,58
HTTPS,142.251.221.163,192.168.0.102,443,56696,1018
HTTPS,142.251.221.163,192.168.0.102,443,56695,1018
HTTPS,142.251.221.163,192.168.0.102,443,56697,1458
HTTPS,142.251.221.163,192.168.0.102,443,56697,1458
HTTPS,142.251.221.163,192.168.0.102,443,56697,1340
HTTPS,192.168.0.102,142.251.221.163,56697,443,54
HTTPS,192.168.0.102,142.251.221.163,56697,443,128
HTTPS,192.168.0.102,142.251.221.163,56695,443,54
HTTPS,192.168.0.102,142.251.221.163,56696,443,54
HTTPS,142.251.221.163,192.168.0.102,443,56697,1018
HTTPS,192.168.0.102,142.251.221.163,56697,443,54
TCP,192.168.0.102,192.178.211.188,64645,5228,55
TCP,192.178.211.188,192.168.0.102,5228,64645,58
HTTPS,192.168.0.102,20.184.175.15,56686,443,168
HTTPS,192.168.0.102,20.184.175.15,56686,443,1454
HTTPS,192.168.0.102,20.184.175.15,56686,443,1201
HTTPS,20.184.175.15,192.168.0.102,443,56686,54
HTTPS,20.184.175.15,192.168.0.102,443,56686,153
HTTPS,192.168.0.102,20.184.175.15,56686,443,89
TCP,192.168.0.102,192.178.211.188,56685,5228,55
TCP,192.178.211.188,192.168.0.102,5228,56685,66
HTTPS,20.184.175.15,192.168.0.102,443,56686,54
HTTPS,192.168.0.102,20.184.175.15,56687,443,55
HTTPS,20.184.175.15,192.168.0.102,443,56687,66
HTTPS,192.168.0.102,142.251.223.226,56689,443,55
HTTPS,142.251.223.226,192.168.0.102,443,56689,66
HTTPS,192.168.0.102,172.64.155.209,56690,443,55
HTTPS,172.64.155.209,192.168.0.102,443,56690,66
HTTPS,192.168.0.102,20.184.175.15,56686,443,167
HTTPS,192.168.0.102,20.184.175.15,56686,443,93
HTTPS,192.168.0.102,20.184.175.15,56686,443,1454
HTTPS,192.168.0.102,20.184.175.15,56686,443,1454
HTTPS,192.168.0.102,20.184.175.15,56686,443,313
HTTPS,20.184.175.15,192.168.0.102,443,56686,54
HTTPS,20.184.175.15,192.168.0.102,443,56686,54
HTTPS,20.184.175.15,192.168.0.102,443,56686,93
HTTPS,192.168.0.102,20.184.175.15,56686,443,54
HTTPS,20.184.175.15,192.168.0.102,443,56686,148
HTTPS,192.168.0.102,20.184.175.15,56686,443,89
