Protocol,Source IP,Destination IP,Source Port,Destination Port,Packet Size
HTTPS,192.168.0.102,172.64.155.209,61188,443,1454
HTTPS,192.168.0.102,172.64.155.209,61188,443,1454
HTTPS,192.168.0.102,172.64.155.209,61188,443,1454
HTTPS,192.168.0.102,172.64.155.209,61188,443,1454
HTTPS,192.168.0.102,172.64.155.209,61188,443,1454
HTTPS,192.168.0.102,172.64.155.209,61188,443,1203
HTTPS,192.168.0.102,172.64.155.209,61188,443,1454
HTTPS,192.168.0.102,172.64.155.209,61188,443,1454
HTTPS,192.168.0.102,172.64.155.209,61188,443,764
HTTPS,192.168.0.102,172.64.148.235,61217,443,54
HTTPS,172.64.155.209,192.168.0.102,443,61188,54
HTTPS,172.64.155.209,192.168.0.102,443,61188,54
HTTPS,172.64.155.209,192.168.0.102,443,61188,54
HTTPS,172.64.155.209,192.168.0.102,443,61188,54
HTTPS,172.64.155.209,192.168.0.102,443,61188,54
HTTPS,172.64.155.209,192.168.0.102,443,61188,54
HTTPS,172.64.155.209,192.168.0.102,443,61188,54
HTTPS,172.64.155.209,192.168.0.102,443,61188,93
HTTPS,192.168.0.102,172.64.155.209,61188,443,54
HTTPS,172.64.155.209,192.168.0.102,443,61188,540
HTTPS,172.64.155.209,192.168.0.102,443,61188,109
HTTPS,172.64.155.209,192.168.0.102,443,61188,85
HTTPS,192.168.0.102,172.64.155.209,61188,443,54
HTTPS,192.168.0.102,172.64.155.209,61188,443,89
HTTPS,172.64.155.209,192.168.0.102,443,61188,54
HTTPS,192.168.0.102,4.207.44.75,61189,443,167
HTTPS,192.168.0.102,4.207.44.75,61189,443,1454
HTTPS,192.168.0.102,4.207.44.75,61189,443,1454
HTTPS,192.168.0.102,4.207.44.75,61189,443,313
HTTPS,4.207.44.75,192.168.0.102,443,61189,54
HTTPS,4.207.44.75,192.168.0.102,443,61189,153
HTTPS,192.168.0.102,4.207.44.75,61189,443,89
HTTPS,4.207.44.75,192.168.0.102,443,61189,54
TCP,192.168.0.102,142.251.10.188,61187,5228,55
TCP,142.251.10.188,192.168.0.102,5228,61187,70
HTTPS,172.64.148.235,192.168.0.102,443,61217,78
HTTPS,192.168.0.102,172.64.148.235,61217,443,82
HTTPS,172.64.148.235,192.168.0.102,443,61217,54
HTTPS,192.168.0.102,4.207.44.75,61189,443,168
HTTPS,192.168.0.102,4.207.44.75,61189,443,1454
HTTPS,192.168.0.102,4.207.44.75,61189,443,1201
